hour,nl_node_1,nl_node_2,nl_node_3
6859,333,0.03159,0.02405
6860,333,0.03388,0.02579
6861,333,0.03388,0.02579
6862,333,0.0311,0.02368
6863,333,0.03427,0.0261
6864,333,0.03427,0.0261
6865,333,0.03328,0.02534
6866,333,0.03248,0.02473
6867,333,0.03248,0.02473
6868,333,0.04377,0.03333
6869,333,0.09489,0.07224
6870,333,0.09489,0.07224
6871,333,0.12888,0.09812
6872,333,0.16849,0.12828
6873,333,0.16849,0.12828
6874,333,0.14343,0.1092
6875,333,0.12039,0.09166
6876,333,0.12039,0.09166
6877,333,0.12363,0.09413
6878,333,0.12691,0.09663
6879,333,0.12691,0.09663
6880,333,0.12454,0.09482
6881,333,0.12219,0.09303
6882,333,0.12219,0.09303
6883,333,0.1324,0.1008
6884,333,0.14304,0.1089
6885,333,0.14304,0.1089
6886,333,0.15123,0.11514
6887,333,0.15965,0.12155
6888,333,0.15965,0.12155
6889,333,0.1499,0.11413
6890,333,0.14045,0.10694
6891,333,0.14045,0.10694
6892,333,0.11353,0.08643
6893,333,0.08983,0.06839
6894,333,0.08983,0.06839
6895,333,0.08083,0.06154
6896,333,0.0725,0.0552
6897,333,0.0725,0.0552
6898,333,0.08093,0.06162
6899,333,0.09005,0.06856
6900,333,0.09005,0.06856
6901,333,0.11701,0.08909
6902,333,0.14801,0.11269
6903,333,0.14801,0.11269
6904,333,0.17553,0.13364
6905,333,0.20511,0.15616
6906,333,0.20511,0.15616
6907,333,0.17755,0.13518
6908,333,0.15177,0.11556
6909,333,0.15177,0.11556
6910,333,0.1376,0.10477
6911,333,0.12414,0.09452
6912,333,0.12414,0.09452
6913,333,0.12576,0.09575
6914,333,0.12738,0.09698
6915,333,0.12738,0.09698
6916,333,0.18819,0.14328
6917,333,0.25896,0.19716
6918,333,0.25896,0.19716
6919,333,0.34819,0.2651
6920,333,0.44287,0.33718
6921,333,0.44287,0.33718
6922,333,0.47958,0.36513
6923,333,0.51628,0.39308
6924,333,0.51628,0.39308
6925,333,0.50835,0.38704
6926,333,0.50041,0.38099
6927,333,0.50041,0.38099
6928,333,0.50371,0.38351
6929,333,0.50701,0.38602
6930,333,0.50701,0.38602
6931,333,0.46694,0.35551
6932,333,0.42694,0.32505
6933,333,0.42694,0.32505
6934,333,0.39749,0.30263
6935,333,0.36836,0.28046
6936,333,0.36836,0.28046
6937,333,0.3291,0.25057
6938,333,0.29097,0.22153
6939,333,0.29097,0.22153
6940,333,0.25951,0.19759
6941,333,0.22929,0.17458
6942,333,0.22929,0.17458
6943,333,0.21072,0.16044
6944,333,0.19278,0.14678
6945,333,0.19278,0.14678
6946,333,0.14139,0.10765
6947,333,0.09808,0.07467
6948,333,0.09808,0.07467
6949,333,0.0803,0.06114
6950,333,0.06498,0.04947
6951,333,0.06498,0.04947
6952,333,0.04621,0.03518
6953,333,0.0347,0.02642
6954,333,0.0347,0.02642
6955,333,0.03151,0.02399
6956,333,0.03151,0.02399
6957,333,0.03151,0.02399
6958,333,0.03813,0.02903
6959,333,0,0
6960,333,0.05329,0.04057
6961,333,0.03762,0.02864
6962,333,0.0313,0.02383
6963,333,0.0313,0.02383
6964,333,0.04642,0.03534
6965,333,0.09528,0.07254
6966,333,0.09528,0.07254
6967,333,0.14461,0.1101
6968,333,0.20431,0.15556
6969,333,0.20431,0.15556
6970,333,0.25136,0.19138
6971,333,0.30168,0.22969
6972,333,0.30168,0.22969
6973,333,0.36127,0.27506
6974,333,0.42293,0.322
6975,333,0.42293,0.322
6976,333,0.43513,0.33129
6977,333,0.44736,0.3406
6978,333,0.44736,0.3406
6979,333,0.46783,0.35619
6980,333,0.48833,0.37179
6981,333,0.48833,0.37179
6982,333,0.4822,0.36713
6983,333,0.47606,0.36246
6984,333,0.47606,0.36246
6985,333,0.50124,0.38163
6986,333,0.52636,0.40075
6987,333,0.52636,0.40075
6988,333,0.50563,0.38497
6989,333,0.48486,0.36915
6990,333,0.48486,0.36915
6991,333,0.37761,0.2875
6992,333,0.27563,0.20986
6993,333,0.27563,0.20986
6994,333,0.26077,0.19854
6995,333,0.24619,0.18744
6996,333,0.24619,0.18744
6997,333,0.31516,0.23995
6998,333,0.38842,0.29573
6999,333,0.38842,0.29573
7000,333,0.38967,0.29668
7001,333,0.39092,0.29764
7002,333,0.39092,0.29764
7003,333,0.36479,0.27774
7004,333,0.33903,0.25812
7005,333,0.33903,0.25812
7006,333,0.30279,0.23053
7007,333,0.26773,0.20384
7008,333,0.26773,0.20384
7009,333,0.27688,0.2108
7010,333,0.28611,0.21784
7011,333,0.28611,0.21784
7012,333,0.29955,0.22807
7013,333,0.31316,0.23843
7014,333,0.31316,0.23843
7015,333,0.37616,0.2864
7016,333,0.44113,0.33586
7017,333,0.44113,0.33586
7018,333,0.46435,0.35354
7019,333,0.48761,0.37125
7020,333,0.48761,0.37125
7021,333,0.53216,0.40517
7022,333,0.57624,0.43873
7023,333,0.57624,0.43873
7024,333,0.56414,0.42952
7025,333,0.55198,0.42026
7026,333,0.55198,0.42026
7027,333,0.51623,0.39304
7028,333,0.48025,0.36565
7029,333,0.48025,0.36565
7030,333,0.42458,0.32326
