,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
biomassPrice-11,4.5,4.50432293,4.5925780771,4.6702477112,4.6252510668,4.6504417845,4.7063990108,4.885034586,4.9669617838,5.0593968496,5.1882716941,5.076746741,5.1716154914,5.1132290803,5.071172438,5.1088946753,5.1299212482,5.1029946919,5.0565630472,5.1965955306,5.1405285352,5.2407111079,5.150200424,5.1654516919,5.0726894836,5.1017322343,5.0811948547,5.0984967679,5.0745827326,5.1912839037,5.3803737619,5.2771891398,5.1749669013,5.273320181,5.3443433747,5.3194301139,5.3191182821,5.2371400804,5.3687094847,5.4156086915,5.4633845391,5.4856745669,5.4822294018,5.6185502307,5.8141163758,5.7554554921,5.9076381709,5.95483859,5.8728223345,5.8550076398
biomassPrice-12,4.5,4.4949824574,4.5895253142,4.5895972503,4.6542413527,4.6518917118,4.7784588411,4.790535001,4.9342614101,5.0956964727,5.1554566588,5.3212283033,5.254558607,5.2481037192,5.2988342917,5.541669858,5.4462900229,5.5667438234,5.5730988885,5.6432712728,5.6483353314,5.5460183427,5.4186438641,5.5154970187,5.5521504561,5.6808131797,5.7676839977,5.9251934199,5.9582418957,6.1145927085,5.977606631,6.0731280788,6.1901079956,6.4239609401,6.3883219682,6.3702228574,6.2385629011,6.2917955412,6.2007074531,6.4250756396,6.433575318,6.342831947,6.5336133195,6.5301647477,6.7934652221,6.7787633137,6.9031106433,7.0333518663,7.2763899041,7.4899361802
biomassPrice-13,4.5,4.5311868454,4.5573894059,4.5276006581,4.4298580979,4.3107024261,4.3729557391,4.4074479996,4.5463920074,4.5658363456,4.6550245963,4.5618864134,4.5776295101,4.4682570707,4.460136723,4.4987390271,4.6281462303,4.7258122853,4.6324184225,4.8129354608,4.8966908126,5.0563715766,5.1079895255,5.2411055449,5.1373135487,5.2293914528,5.153331353,5.2350273984,5.421523053,5.3252951144,5.3731827203,5.4022887004,5.3854017798,5.5435778382,5.6775018491,5.6297029245,5.8802323813,5.9806311262,6.0171390452,5.8911556772,5.9622301457,6.0230564036,5.9851294621,5.9449658196,6.0713619164,6.0296601113,6.1969055101,6.1903021087,6.4287119319,6.5962337678
biomassPrice-14,4.5,4.680233329,4.7129378808,4.7754190712,4.9517840615,4.8733472692,4.9333307181,5.0230371203,5.0901928599,4.9766776978,5.1106393724,5.2108854486,5.4025211386,5.4548403488,5.4943560279,5.5908333361,5.7406839533,5.8318164439,5.8603016318,5.9905468962,6.0146570724,6.0904017168,6.1615816279,6.3327575433,6.25965104,6.4050439678,6.407187745,6.481477681,6.506636339,6.4583437336,6.3544925619,6.3538616533,6.2265156553,6.1891645931,6.0859430022,5.9982207661,6.0414874754,6.055906142,6.1659246052,6.3838396333,6.6622183775,6.9102156468,7.1940341693,7.1498778565,7.2712820144,7.2184183002,7.3538589695,7.4383533897,7.4498941543,7.7470708588
biomassPrice-15,4.5,4.4833281629,4.4659121371,4.541151228,4.5652900776,4.61348087,4.5792270306,4.474654597,4.4793177328,4.5125398946,4.5893626168,4.7851764006,4.8363206089,4.7294242406,4.8009458574,5.0258708738,5.0095191057,4.971740177,5.2037293482,5.1250513443,5.2215009574,5.2747127334,5.4274088795,5.4807499034,5.5387862852,5.4960478775,5.4725755908,5.3998179063,5.3534466511,5.4167885779,5.3516713408,5.3289029089,5.2151849162,5.188513094,5.2352005456,5.2934677956,5.4033596848,5.6286954142,5.5087291126,5.6149524556,5.6842191583,5.8614699333,5.7977583812,5.765779789,5.9763904078,5.9911162209,6.1019928115,5.9779114415,6.0590588415,6.0552974203
biomassPrice-16,4.5,4.5855387062,4.7926371826,4.8090518049,4.8614427131,4.9514938171,4.9984655037,5.0338771275,5.1054129507,5.1485497282,5.397776397,5.4666358198,5.4504294881,5.4673444285,5.5137317417,5.678387675,5.6701950743,5.767280049,5.8992199727,5.7641713537,5.8141519889,5.8203375352,5.7898690638,5.8916536103,6.0807939754,6.2647261637,6.2119257854,6.2847820129,6.245958012,6.2329040062,6.1272920129,6.320938151,6.423800878,6.3215518174,6.4657720621,6.5129562011,6.5156171886,6.6588613031,6.5160798087,6.725143802,6.7549930284,6.8718141658,6.8605142259,6.8627332941,7.0239090495,7.2305531143,7.3604510982,7.2236765467,7.4616362163,7.7065527422
biomassPrice-17,4.5,4.6518630109,4.7863428364,4.8472376934,4.8239548487,4.7872878719,4.9021941624,4.8502101953,4.8297462605,4.9068524301,4.89506049,5.0128088787,5.1329753514,5.1595629747,5.1020869082,5.095117933,5.0121854051,5.0236961198,5.0088882927,5.061074252,5.1554628089,5.2981494622,5.4678389186,5.5272483027,5.4523970334,5.5833047456,5.6255860833,5.7286539214,5.8827672724,5.9067189827,5.9361817273,5.8693827551,5.7668577962,5.6583642242,5.6440361792,5.6496084706,5.6491877142,5.8975874737,5.9468594339,5.8887196142,5.9740387394,6.0344901852,5.9357350347,5.9311997538,6.1153087153,6.2854912316,6.2308394372,6.0683310382,6.188428089,6.2626109162
biomassPrice-18,4.5,4.4624128125,4.4819032506,4.567055041,4.5852514475,4.7441307145,4.8093632373,4.8763923346,5.0037893615,5.0033628703,5.0100339741,4.952319833,4.9309906603,5.0672011473,5.131729957,5.1774547427,5.2769416405,5.4557691888,5.6327091456,5.7246441385,5.6779687136,5.7423423621,5.795392412,6.0521085249,5.9575403171,6.0085881908,5.9905539431,6.0408542222,6.1039859473,6.0785525904,6.2982163932,6.2653690555,6.1627063267,6.2820962671,6.2502733053,6.3911230648,6.3965350234,6.4680480215,6.5377150777,6.4203222505,6.4598354666,6.5578836884,6.7902385369,6.939261364,6.9168188467,7.0666766614,7.1755033177,7.2476346415,7.2168993809,7.4365865527
biomassPrice-19,4.5,4.4755744159,4.5136131016,4.4267622003,4.4878627492,4.5444625737,4.6449107223,4.7300354064,4.8690890317,4.8967203745,4.9751719859,5.0721512688,5.1807621196,5.2536874635,5.3243907482,5.2444326144,5.2914877291,5.262786915,5.267993232,5.2957124437,5.4129745615,5.6106568837,5.6727379772,5.6225989556,5.625514307,5.8673736763,5.9824291078,5.9638853999,6.0901795558,6.171655347,6.3864801668,6.5309205495,6.593096823,6.514604484,6.5384732591,6.6046789481,6.5747085981,6.6223635113,6.5463443266,6.849783876,6.859243448,7.0691042616,7.151057369,7.2697507486,7.2418705065,7.375980029,7.3778527301,7.3786695462,7.3983165682,7.4442834662
biomassPrice-20,4.5,4.5268151877,4.5884743888,4.4779911755,4.5446423889,4.562808419,4.5247295043,4.6441541526,4.720669109,4.8205632881,4.8558095022,4.8860086283,5.0352800741,5.064015883,5.1689339048,5.2687324872,5.3421391936,5.3560577199,5.4036579206,5.4346454391,5.5617150704,5.7655214604,5.848434776,6.0145270971,6.1107389504,6.2846581856,6.397437714,6.5385312302,6.820309101,7.0946173664,7.3155290891,7.2814142778,7.3838031281,7.297646446,7.4258754104,7.4845955844,7.3846178195,7.7064526461,7.675900483,7.7241939385,7.9073870119,8.0937283942,8.072122727,8.3318604468,8.3115346522,8.278097637,8.1918239727,8.2233619633,8.2849164146,8.2615552627
biomassPrice-21,4.5,4.495834959,4.6482080688,4.529568169,4.6680860884,4.8441245073,4.7560189607,4.854856826,4.8500198361,4.8414526699,4.8200806721,4.9017839118,5.1211976634,5.1637065247,5.2040756834,5.2729106619,5.1813195247,5.1335604228,5.0314521378,5.043773422,5.1502131613,5.1485027584,5.1544384414,5.1800766607,5.2887108869,5.436333701,5.6597524531,5.7150733702,5.7422586613,5.9649470244,5.9904440421,5.8692885496,5.8134467225,5.7699360067,5.8732842841,5.7440036454,5.7463497243,5.8779802767,5.9680732961,5.9921222382,6.0540537942,6.3072135631,6.2707390846,6.306082353,6.3836699949,6.3694981282,6.4002583759,6.401326483,6.5038973841,6.4790657815
biomassPrice-22,4.5,4.5280274918,4.5866678386,4.6255105727,4.6010964618,4.6417143092,4.7001154,4.875535896,5.0360706086,5.0828634465,5.1573594607,5.1091623165,5.1596296498,5.2054480674,5.309964911,5.29581187,5.2348873013,5.2759414859,5.3867717444,5.4216627978,5.5454369939,5.6656822601,5.6734408689,5.6085097369,5.6346164655,5.5296835385,5.7067956861,5.758558939,5.9871686677,5.8581735912,6.0596313582,6.1653370125,6.1649363346,6.2560739665,6.3586751209,6.6036233054,6.874782092,6.9487849595,6.9087795295,6.9773176401,7.0250023822,7.1631288461,7.2789709951,7.2760800019,7.4362721353,7.6099556397,7.7553607901,7.7428136225,7.6772303798,7.9265519907
biomassPrice-23,4.5,4.5757561402,4.6639664515,4.7556750012,4.925387223,4.9246972826,5.0002484935,5.1141036578,5.1810711761,5.3106231815,5.2835609922,5.3561605445,5.4120396166,5.4855099575,5.5778128699,5.7055856806,5.9177466312,5.8227926455,5.8400130495,5.9313488579,5.8554355846,6.0645913263,6.1473646228,6.2158363965,6.2666122049,6.3588503532,6.4968340467,6.3501294557,6.22067609,6.269949955,6.2099283647,6.243440755,6.3422268209,6.4157738493,6.3915636436,6.3851350849,6.4651748112,6.3399571757,6.6298605523,6.6060281372,6.8508925155,6.977962157,7.2851503204,7.3917972238,7.3242583419,7.4413770215,7.5502849238,7.4567186841,7.4416836509,7.6439470879
biomassPrice-24,4.5,4.5094075507,4.6299450236,4.5613759124,4.5378770804,4.5964315091,4.6312221534,4.5603769901,4.476241844,4.6379219057,4.7155522326,4.7431037993,4.7003872186,4.7824463058,4.7390209514,4.7647128836,4.7762850544,4.8758117376,4.9235075418,4.9849316764,5.1476188716,5.178750009,5.2137708201,5.1782536138,5.165045629,5.3284266284,5.4105686354,5.3941923328,5.5276842277,5.57133695,5.700901817,5.7825952741,6.0450103927,5.8912834853,6.0445699774,6.158130291,6.4243155649,6.4717915566,6.5354844331,6.4586103298,6.6970291817,6.5953436725,6.5427258964,6.4103369859,6.2444708489,6.2670678004,6.1793564513,6.4489465576,6.2869805362,6.3357544789
biomassPrice-25,4.5,4.4655321204,4.5539351031,4.6544497283,4.8183400561,4.8740847484,4.8800688428,4.94703168,4.9449800784,5.1260309808,5.1859308442,5.2030437024,5.0910893223,5.1568777826,5.2928109755,5.299003426,5.335434161,5.4142250957,5.4404574854,5.6303736738,5.6998607899,5.7515199837,5.8235788274,5.8521005434,5.8254265861,5.8599115303,5.8177398054,5.9857109767,6.0573903046,6.1115976521,6.325716618,6.3823302017,6.5332975068,6.7271331234,6.9715636218,6.8817210992,6.8187607808,6.9722333745,7.1006531385,7.061781933,7.1873368117,7.0787898817,7.0195741962,7.1630143305,7.2316781278,7.1526829126,7.4054964249,7.5783442833,7.6423136614,7.7142111555
biomassPrice-26,4.5,4.4638490931,4.5347625181,4.5681539053,4.592192045,4.5024562617,4.4913100032,4.5011843935,4.5667638959,4.7104704344,4.8299588398,4.8172999964,4.7205631493,4.7936333597,4.7180766009,4.8300141199,5.0073154448,5.0893567216,5.2217065409,5.1529848809,5.1024058923,5.1009756413,5.1715133549,5.091673838,5.1612903765,5.3379156691,5.4252270601,5.3959865828,5.4710959313,5.4898488249,5.3615685231,5.2849019435,5.4038468526,5.3020397133,5.3865397494,5.4308481432,5.3166243495,5.3586004874,5.3844916016,5.4897098081,5.6347911124,5.5427721306,5.7029238538,5.8151664144,5.8912599705,5.7931382134,5.7417901107,5.9336574092,5.9653630811,6.0348861353
biomassPrice-27,4.5,4.431793848,4.4494664993,4.6329097637,4.670134225,4.8240565824,4.8493430212,4.8583056375,4.966628714,5.0205459368,4.9242528273,4.9845360898,5.1577541125,5.244680464,5.2725710687,5.4776533754,5.5242619821,5.610865088,5.7094484202,5.7714625947,5.8897464944,5.9317526136,5.8592508692,5.9415729207,5.8216706857,5.7790864301,5.775293257,5.8509714347,5.8974355648,6.029108259,6.1933609279,6.3611123902,6.4102122351,6.5920956031,6.6172804671,6.6060174384,6.6840303065,6.6379038657,6.6328044058,6.6592789017,6.7694574229,6.8954840147,6.9574389337,7.0369851622,7.1592946553,7.0266488805,7.2195457615,7.2233940189,7.228094181,7.2550273037
biomassPrice-28,4.5,4.5161750433,4.4950325293,4.4345676297,4.4342375023,4.4644745475,4.4155961663,4.414202008,4.4328955446,4.3551006223,4.3366923528,4.306045518,4.4279337342,4.5504822441,4.7471077719,4.7432089196,4.8499523023,4.7745342895,4.8020726098,4.8954700027,5.0043988615,5.0899540608,5.1563902698,5.1307689926,5.2058369777,5.3488754674,5.3346447296,5.4286486232,5.5827450611,5.7445679506,5.8949845836,5.953227589,6.1124499284,6.0232237123,5.9898475612,5.9780778504,5.9481246729,6.0646771486,6.1713170033,6.3741645533,6.3782439176,6.5449386535,6.6501081905,6.7534074078,7.0171533091,7.1267586731,7.1631334251,7.316131522,7.4440171619,7.5000974183
biomassPrice-29,4.5,4.619770306,4.6629610557,4.6911354484,4.7193871262,4.7702588343,4.9066375778,5.0767248272,5.1396970503,5.1483745068,5.1912428706,5.1961653608,5.3093023999,5.3471949814,5.4393174952,5.4182490461,5.5082279059,5.7474420756,5.7298721034,5.7919437071,5.8628694246,5.9424327933,6.0019567489,5.9104783207,6.1440668958,6.1817333065,6.3613541194,6.4320281665,6.5077360652,6.5195588406,6.6502674158,6.6130031856,6.6355789059,6.9496623138,7.2350326375,7.0596851347,7.1858332907,7.1119601121,7.3841055355,7.4637514236,7.4952527336,7.7643441957,7.826499714,8.0075242955,8.216497797,8.3869144907,8.4106756432,8.2019752597,8.2345246647,8.4028943662
biomassPrice-30,4.5,4.6464864803,4.732731757,4.7207689216,4.7756435006,4.8798511677,4.8879853099,4.8491164359,4.8861156041,4.8873437601,4.8752659216,4.8377808744,4.8617855999,4.9656054012,4.9868890351,5.0391338706,5.1474428242,5.2054206615,5.2931507897,5.2189886271,5.2760653051,5.3192574615,5.2425587392,5.4431010032,5.5093857343,5.5625024079,5.4373827953,5.623282866,5.581238671,5.555064747,5.5332121321,5.5699622342,5.6357282163,5.8623352335,5.8502010842,5.8668988016,5.755691061,5.7229623649,5.8380517522,6.1021730189,6.0644609002,6.2966549482,6.2889685451,6.4164317851,6.3927043002,6.2318493965,6.2715829731,6.3121749711,6.3318659648,6.51173249
biomassPrice-31,4.5,4.473730678,4.4220713113,4.4285226652,4.5703919183,4.5580955596,4.5519265859,4.6595080004,4.7435465458,4.8529876282,4.9074067698,5.0064239241,5.0320798093,5.0402497292,5.1274124934,5.1983823561,5.3667468472,5.4844428691,5.4458786034,5.6120480136,5.5644443346,5.5044012948,5.5514644544,5.603116014,5.5731367689,5.788051573,5.793624172,5.7762110749,5.9057127891,5.9993539233,6.0351710458,6.2512365957,6.4755277864,6.304127454,6.3556805639,6.4107675495,6.4988916478,6.5689748621,6.5369381636,6.4702106088,6.4165143451,6.2976616188,6.5292385441,6.4366923169,6.348506612,6.4387241068,6.5146902595,6.6254087324,6.6231709238,6.7771374851
biomassPrice-32,4.5,4.5882250619,4.7540400174,4.8144030165,4.8783706236,4.9262437766,4.8372382036,4.9190024575,4.9855330072,5.1279744008,5.2600446143,5.2165933211,5.3563509153,5.4965841819,5.55398552,5.6339639381,5.7967145855,5.7900420068,6.0023540023,6.1106098378,6.1370368207,6.2215978374,6.3922738599,6.5224621261,6.7473224278,6.9798923224,7.212278492,7.4714891048,7.7685787382,7.6908115753,7.7893650079,8.0992306188,8.4176613713,8.6038746878,8.7543696197,8.8859602256,8.8241027759,8.9645624226,9.101547408,9.3673157309,9.5535376791,9.6099458933,9.6014394236,9.8280940218,9.9597969826,10.0329838044,10.2722784864,10.3627091457,10.2834431561,10.3898338951
biomassPrice-33,4.5,4.53189382,4.540713379,4.5234722992,4.5421712897,4.5387334248,4.6505731981,4.6066586602,4.6324265755,4.7766688729,4.8435563704,4.8683256194,4.7789832734,4.9307088165,5.0643337035,5.0349363954,5.2740760963,5.28206301,5.4420101562,5.5153943134,5.542398107,5.6438897388,5.7778687153,5.8692337822,5.7603434294,5.8740733565,5.9261281711,6.1116206144,6.2396309367,6.4029361009,6.3572817022,6.3871050547,6.2893000775,6.1662749947,6.0915014023,6.3483156379,6.39228265,6.3800683648,6.3403730734,6.2010767474,6.2450101636,6.2991165653,6.4507391409,6.4340482896,6.4279063387,6.601969119,6.5182145768,6.6578394943,6.654002728,6.6323155276
biomassPrice-34,4.5,4.5067017235,4.4870197097,4.6160117041,4.7671586661,4.8101049046,4.9828569843,5.1275932407,5.216068589,5.1594628691,5.2632406261,5.4720010142,5.4645655159,5.5809292623,5.5305782733,5.5311646099,5.5844782085,5.8000055168,5.7389488848,5.8018984207,5.7721636642,5.9471277606,5.8846564009,6.0533790654,6.2950729775,6.2989060937,6.4157265016,6.5734659989,6.6959968854,6.6288625847,6.6722048608,6.776469412,6.9410495902,7.11001476,7.2829017257,7.4557693157,7.2936683122,7.2123693191,7.2245982246,7.2877449177,7.5629775649,7.6499639464,7.7295783066,7.6671643907,7.9381962674,8.0426554993,8.0940940369,7.9832919711,8.1675659659,8.3358311997
biomassPrice-35,4.5,4.455899172,4.518889321,4.5514123329,4.5945374553,4.5046761235,4.6512055328,4.71349897,4.8159970696,4.7315347967,4.7288130587,4.7416865265,4.7534018813,4.8837604992,4.8989233376,4.9137692565,4.9839019879,5.1146402341,5.2131093752,5.3597828249,5.5106094213,5.6177080964,5.7388929683,5.82936393,5.82794196,5.8081608654,5.9362354119,6.1004950857,6.1459424622,6.2103108332,6.258538827,6.366093859,6.3460504906,6.4253504178,6.6730615124,6.9768237191,6.9935871278,7.1035872922,7.1763117118,7.3220065059,7.5327369933,7.7783558692,7.8538377844,7.8055581634,7.7794728651,7.8301933756,7.7933851794,7.936920342,7.8669813936,8.0926056473
biomassPrice-36,4.5,4.5480013363,4.4424363474,4.4398516056,4.5041575893,4.5248885093,4.5065496717,4.7165129108,4.8370030987,4.9228287557,4.9640135694,5.0449748072,5.1025722821,5.3216426353,5.2457863818,5.1693301442,5.1868443139,5.1843912558,5.0906030629,5.176394497,5.1634007746,5.144767154,5.2264309283,5.382817617,5.4465782949,5.4097003063,5.5719284848,5.4695680996,5.5427784371,5.6658095758,5.7045661079,5.9032322381,6.1411130545,6.29429437,6.5386109302,6.4723924436,6.4876923864,6.4836734511,6.4434052954,6.2705643019,6.4070557638,6.5677281463,6.7000072551,6.6789502856,6.8227906937,6.8891016134,7.0243033843,6.9774535029,7.0567309145,7.2523327708
biomassPrice-37,4.5,4.5340359568,4.5489319462,4.6646540367,4.837666856,4.8876050283,4.7829547104,4.8099258596,4.9840585148,4.9444244173,4.8499581282,5.0318579531,5.2267958011,5.361582358,5.3918406081,5.3781412076,5.4454599901,5.5869452465,5.5699765741,5.747129388,5.8222173938,5.6593071405,5.7857833184,5.9929890741,6.0145445366,6.0448455328,6.1183862799,6.212944796,6.2816329617,6.2356154396,6.3973329134,6.5062276124,6.5531716498,6.5995380474,6.7551679707,6.7682355495,6.7613887516,6.7645555598,6.7310752543,6.802612587,7.0423734513,7.192602936,7.2707990583,7.3245168621,7.5157164261,7.6307549041,7.8697599837,7.9585554682,8.1013023365,8.3066104287
biomassPrice-38,4.5,4.5013031398,4.6244382913,4.6121749173,4.7443109851,4.7700464983,4.7069356806,4.7236954459,4.7582264334,4.754913359,4.7722382182,4.8181468156,4.8861854554,4.8768249127,5.001131888,5.0829729745,5.2280586908,5.3399033953,5.4040825483,5.4460593216,5.6277929491,5.5963918575,5.7179562004,5.8770426348,6.0490877104,5.9792986083,6.161086637,6.0317694637,6.0353318141,6.1571642139,6.2195269265,6.359992855,6.5618762434,6.8447421815,6.8469259597,6.9921945241,7.2549034418,7.1114944989,7.1221734433,7.1980126666,7.3215600606,7.2606359391,7.4892510717,7.4991960238,7.6043508989,7.5914303532,7.6313119441,7.7304586497,7.7735242227,7.9664433228
biomassPrice-39,4.5,4.5596934749,4.5178715069,4.4542624607,4.3839585588,4.3946470399,4.3907548509,4.5475998809,4.6577661157,4.7325325067,4.8035948657,4.9615406334,4.9960157318,4.9802513784,4.9601247498,4.8479741013,4.8631025723,5.0310073135,5.0747904312,5.1310795438,5.2325422565,5.3971126659,5.3250307917,5.4109076074,5.525824663,5.4404923448,5.5476114244,5.580187051,5.6110498087,5.7318429014,5.720357231,5.7518474169,5.6986954535,5.5659986647,5.5804552338,5.6595703177,5.758738803,5.9557444142,6.067606834,6.116416371,6.1712474975,6.2990189105,6.4895437661,6.5324541452,6.4092188901,6.6131756992,6.6699994124,6.6252049007,6.7073236534,6.6380708513
