hour,nl8,nl4,de10,de5,frbelux8,frbelux4,uk6,uk3
248,18969.04,9484.52,119312.02,59656.01,96784.88,48392.44,38524.86,19262.43
249,17250.96,8625.48,110636.89,55318.445,91148,45574,36816.36,18408.18
250,22683.76,11341.88,135954.27,67977.135,109150.8,54575.4,44346.6,22173.3
251,22812.96,11406.48,138587.56,69293.78,111778.8,55889.4,45845.4,22922.7
252,21183.28,10591.64,137804.5,68902.25,111898.32,55949.16,45212.64,22606.32
253,21193.68,10596.84,137802.82,68901.41,111592.8,55796.4,43166.64,21583.32
254,20848.4,10424.2,137798.22,68899.11,110570.88,55285.44,42268.08,21134.04
255,18321.68,9160.84,117809.68,58904.84,97773.68,48886.84,37913.64,18956.82
256,17780.08,8890.04,107907.82,53953.91,92020,46010,38310.6,19155.3
257,22004.32,11002.16,139022.89,69511.445,107613.84,53806.92,45297.18,22648.59
258,21721.6,10860.8,144407.65,72203.825,111401.12,55700.56,46062,23031
259,22736.88,11368.44,143393.1,71696.55,113592.48,56796.24,46886.82,23443.41
260,22380.08,11190.04,145609.19,72804.595,112992.48,56496.24,45784.62,22892.31
261,21831.76,10915.88,138641.27,69320.635,110598.16,55299.08,45472.92,22736.46
262,19712.8,9856.4,116567.43,58283.715,98236.96,49118.48,39752.28,19876.14
263,19222,9611,106495.06,53247.53,92665.44,46332.72,39132.54,19566.27
264,23153.68,11576.84,133007.63,66503.815,109691.76,54845.88,46066.5,23033.25
265,23564.08,11782.04,135136.38,67568.19,113103.2,56551.6,46230.3,23115.15
266,24251.04,12125.52,137356.64,68678.32,114656.88,57328.44,45423.54,22711.77
267,22834.56,11417.28,139992.09,69996.045,115167.92,57583.96,43836.96,21918.48
268,22024.24,11012.12,137498.16,68749.08,113438.08,56719.04,44111.46,22055.73
269,18525.2,9262.6,116061.36,58030.68,100252.8,50126.4,40077.9,20038.95
270,17545.76,8772.88,104548.43,52274.215,94267.76,47133.88,38735.34,19367.67
271,21936.08,10968.04,135553.27,67776.635,111619.36,55809.68,44598.54,22299.27
272,21886.56,10943.28,140178.58,70089.29,114490.4,57245.2,45274.44,22637.22
273,21950.96,10975.48,139681.24,69840.62,115021.52,57510.76,45050.1,22525.05
274,21749.6,10874.8,139217.58,69608.79,115988.48,57994.24,45821.7,22910.85
275,22149.84,11074.92,133722.95,66861.475,116082.56,58041.28,45153.48,22576.74
276,18882.88,9441.44,107422.67,53711.335,103768.64,51884.32,41981.82,20990.91
277,17736.08,8868.04,104614.83,52307.415,98212.32,49106.16,40147.68,20073.84
278,22214.24,11107.12,135564.61,67782.305,114912.96,57456.48,46675.98,23337.99
279,23091.52,11545.76,143272,71636,115167.28,57583.64,47803.86,23901.93
280,23164.96,11582.48,142240.05,71120.025,115769.36,57884.68,47416.44,23708.22
281,23039.52,11519.76,139373.13,69686.565,117864,58932,47851.2,23925.6
282,22471.6,11235.8,136541.42,68270.71,117054.8,58527.4,46901.46,23450.73
283,19306.48,9653.24,115830.29,57915.145,105149.68,52574.84,42518.7,21259.35
284,17592.72,8796.36,106554.98,53277.49,99617.68,49808.84,40724.94,20362.47
285,25679.12,12839.56,137044.72,68522.36,119461.28,59730.64,47324.1,23662.05
286,22991.36,11495.68,142451.46,71225.73,125460.8,62730.4,49148.94,24574.47
287,25104.72,12552.36,144659.57,72329.785,132225.6,66112.8,49166.58,24583.29
288,23719.28,11859.64,144635.4,72317.7,137540.08,68770.04,50430.54,25215.27
289,23793.52,11896.76,141094.04,70547.02,138376.08,69188.04,49596.66,24798.33
290,20132.88,10066.44,118737.43,59368.715,121986.24,60993.12,44199.78,22099.89
291,18951.28,9475.64,108729.35,54364.675,113716.64,56858.32,43729.02,21864.51
292,23075.92,11537.96,138637.41,69318.705,130333.12,65166.56,50194.14,25097.07
293,23273.68,11636.84,141522.29,70761.145,132690,66345,49181.82,24590.91
294,22971.76,11485.88,142026.76,71013.38,134199.2,67099.6,49062.12,24531.06
295,23514,11757,144586.88,72293.44,132806.48,66403.24,47523.66,23761.83
296,22470.64,11235.32,137937.57,68968.785,128784.16,64392.08,48736.02,24368.01
297,19640.72,9820.36,119242.62,59621.31,114738.48,57369.24,43188.84,21594.42
298,19328.96,9664.48,109227.71,54613.855,107529.44,53764.72,43111.98,21555.99
299,22772,11386,138455.73,69227.865,123823.76,61911.88,48814.5,24407.25
300,22870.72,11435.36,144127.12,72063.56,125042,62521,50242.56,25121.28
301,23410.32,11705.16,145102.54,72551.27,125766.72,62883.36,50371.62,25185.81
302,23143.76,11571.88,143271.26,71635.63,126571.92,63285.96,49703.64,24851.82
303,24396.32,12198.16,141110.43,70555.215,123569.04,61784.52,49139.82,24569.91
304,19737.36,9868.68,118826.98,59413.49,110316.56,55158.28,43375.5,21687.75
305,18722.96,9361.48,105133.16,52566.58,105572,52786,43795.98,21897.99
306,22604.96,11302.48,139456.74,69728.37,125718.08,62859.04,51153.18,25576.59
307,23439.6,11719.8,144696.55,72348.275,128683.2,64341.6,52579.5,26289.75
308,23273.12,11636.56,144680.78,72340.39,126541.6,63270.8,52222.26,26111.13
